config_name,test_start_timestamp,context_length,n_generated,time,ttft,invalidated
control,2025-12-09 03:51:40,50,2,0.0865355152636766,0.4414636250585317,True
control,2025-12-09 03:51:40,300,150,4.2615470960736275,0.0684830844402313,True
control,2025-12-09 03:51:40,3000,150,5.00963762588799,0.8332011923193932,True
top10,2025-12-09 03:52:49,50,150,6.633349595591426,91.6940850596875,True
top10,2025-12-09 03:52:49,300,150,4.818387204781175,188.51901400275528,True
top10,2025-12-09 03:52:49,3000,150,5.563043458387256,31.096065064892173,True
top50,2025-12-09 03:59:06,50,150,5.281915852800012,0.0472623351961374,False
top50,2025-12-09 03:59:06,300,150,5.360970739275217,0.084229240193963,False
top50,2025-12-09 03:59:06,3000,150,6.135969029739499,0.870154146105051,False
top25,2025-12-09 04:00:47,50,150,5.864781308919191,0.0534180887043476,False
top25,2025-12-09 04:00:47,300,150,5.990768374875188,0.0794410929083824,False
top25,2025-12-09 04:00:47,3000,150,6.456764625385404,0.848032409325242,False
top10_gla,2025-12-09 04:02:42,50,150,7.1122423484921455,0.0577713213860988,False
top10_gla,2025-12-09 04:02:42,300,150,7.338986730203032,0.0901836920529604,False
top10_gla,2025-12-09 04:02:42,3000,150,8.255912870168686,0.870353115722537,False
control,2025-12-09 00:31:40,50,2,1.3326520829999936,1.7077861669975391,False
control,2025-12-09 00:31:40,300,150,19.152404333999584,3.0029195829993114,False
control,2025-12-09 00:31:40,3000,150,65.93394004199945,17.360534625000582,False
