import time: self [us] | cumulative | imported package
import time:     38199 |      38199 |                       wandb_gql.transport
import time:     35278 |      73477 |                     wandb_gql.transport.local_schema
import time:     20534 |      94010 |                   wandb_gql.client
import time:     16833 |    7233433 |                 wandb_gql
import time:     17878 |      17878 |                   wandb.analytics.sentry
import time:     35157 |      53035 |                 wandb.analytics
import time:     23864 |      23864 |                 wandb.apis.normalize
import time:     38828 |      38828 |                   wandb.old
import time:      1115 |       1115 |                     termios
import time:     11078 |      12193 |                   getpass
import time:     21296 |      21296 |                   wandb.old.core
import time:     28018 |     100333 |                 wandb.old.settings
import time:     27705 |      27705 |                   wandb.proto
import time:      6606 |       6606 |                     google
import time:     16806 |      23412 |                   google.protobuf
import time:      6563 |       6563 |                     wandb.proto.v6
import time:     35058 |      35058 |                       google.protobuf.internal
import time:      2335 |       2335 |                         google.protobuf.internal._api_implementation
import time:     36644 |      36644 |                         google.protobuf.message
import time:     42945 |      42945 |                         google.protobuf.internal.enum_type_wrapper
import time:      4767 |       4767 |                         google.protobuf.enable_deterministic_proto_serialization
import time:     84108 |     170797 |                       google.protobuf.internal.api_implementation
import time:     38147 |     244001 |                     google.protobuf.descriptor
import time:     46914 |      46914 |                       google.protobuf.descriptor_database
import time:     43185 |      43185 |                       google.protobuf.text_encoding
import time:     41967 |      41967 |                       google.protobuf.internal.python_edition_defaults
import time:       347 |        347 |                           encodings.raw_unicode_escape
import time:       222 |        222 |                           encodings.unicode_escape
import time:     41328 |      41328 |                             google.protobuf.internal.containers
import time:     37537 |      37537 |                               google.protobuf.internal.wire_format
import time:     41141 |      78677 |                             google.protobuf.internal.encoder
import time:     42040 |     162044 |                           google.protobuf.internal.decoder
import time:     28190 |      28190 |                           google.protobuf.internal.type_checkers
import time:     24266 |      24266 |                           google.protobuf.unknown_fields
import time:     32227 |     247295 |                         google.protobuf.text_format
import time:     34680 |      34680 |                         google.protobuf.internal.extension_dict
import time:     38821 |      38821 |                         google.protobuf.internal.message_listener
import time:     15662 |      15662 |                           calendar
import time:     38205 |      38205 |                           google.protobuf.internal.field_mask
import time:     38018 |      91884 |                         google.protobuf.internal.well_known_types
import time:     45570 |     458249 |                       google.protobuf.internal.python_message
import time:     46816 |     637127 |                     google.protobuf.descriptor_pool
import time:     36655 |      36655 |                     google.protobuf.runtime_version
import time:     52908 |      52908 |                         google.protobuf.pyext
import time:     48543 |      48543 |                         google.protobuf.pyext.cpp_message
import time:     46484 |     147934 |                       google.protobuf.message_factory
import time:     30121 |     178055 |                     google.protobuf.symbol_database
import time:     67146 |      67146 |                       google.protobuf.reflection
import time:     73440 |     140586 |                     google.protobuf.internal.builder
import time:     90296 |      90296 |                     google.protobuf.empty_pb2
import time:    109126 |     109126 |                     google.protobuf.timestamp_pb2
import time:    147423 |     147423 |                       wandb.proto.v6.wandb_base_pb2
import time:    187071 |     334494 |                     wandb.proto.wandb_base_pb2
import time:    113488 |     113488 |                       wandb.proto.v6.wandb_telemetry_pb2
import time:    105291 |     218778 |                     wandb.proto.wandb_telemetry_pb2
import time:     29276 |    2024951 |                   wandb.proto.v6.wandb_internal_pb2
import time:     13414 |    2089481 |                 wandb.proto.wandb_internal_pb2
import time:    112084 |     112084 |                   wandb.sdk.internal._generated.operations
import time:    211860 |     211860 |                   wandb.sdk.internal._generated.server_features_query
import time:    190833 |     514776 |                 wandb.sdk.internal._generated
import time:     95811 |      95811 |                   wandb_gql.transport.http
import time:     11142 |      11142 |                   wandb._analytics
import time:    168869 |     275821 |                 wandb.sdk.lib.gql_request
import time:     10333 |      10333 |                 wandb.sdk.lib.credentials
import time:     12327 |      12327 |                 wandb.sdk.lib.retry
import time:     18845 |      18845 |                 wandb.sdk.lib.filenames
import time:     27520 |      27520 |                 wandb.sdk.internal.context
import time:     26621 |      26621 |                 wandb.sdk.internal.progress
import time:     16644 |   10460323 |               wandb.sdk.internal.internal_api
import time:     17259 |   10477582 |             wandb.apis.internal
import time:     60679 |      60679 |                 wandb.apis.public.const
import time:     62394 |      62394 |                     wandb.apis.paginator
import time:     61787 |      61787 |                     wandb.apis.public.utils
import time:    162429 |     162429 |                     wandb.sdk.artifacts._gqlutils
import time:    123699 |     123699 |                     wandb.apis.public.registries._utils
import time:     96006 |     506313 |                   wandb.apis.public.registries.registries_search
import time:     77697 |      77697 |                       wandb.apis.attrs
import time:     90141 |     167838 |                     wandb.apis.public.teams
import time:     78660 |      78660 |                     wandb.apis.public.users
import time:    214051 |     214051 |                         wandb.sdk.artifacts._models.base_model
import time:    244409 |     458459 |                       wandb.sdk.artifacts._models.artifact_collection
import time:     53275 |      53275 |                         wandb.apis.public.registries._freezable_list
import time:    105063 |     158338 |                       wandb.sdk.artifacts._models.registry
import time:    117511 |     734307 |                     wandb.sdk.artifacts._models
import time:     30344 |      30344 |                         pydantic._internal._dataclasses
import time:     38590 |      68933 |                       pydantic.dataclasses
import time:     66690 |     135623 |                     wandb.apis.public.registries._members
import time:    124935 |    1241360 |                   wandb.apis.public.registries.registry
import time:     80210 |    1827881 |                 wandb.apis.public.registries
import time:     29356 |      29356 |                     wandb.errors.links
import time:     29637 |      58993 |                   wandb.sdk.lib.apikey
import time:     28343 |      87335 |                 wandb.sdk.wandb_login
import time:     24661 |      24661 |                           wandb.docker.names
import time:     36509 |      61170 |                         wandb.docker
import time:     21489 |      21489 |                         wandb.sdk.launch.errors
import time:     20409 |      20409 |                           wandb.sdk.launch.builder
import time:     13323 |      13323 |                             wandb.sdk.launch.environment
import time:     21896 |      35218 |                           wandb.sdk.launch.environment.abstract
import time:      9042 |       9042 |                             wandb.sdk.launch.registry
import time:     23744 |      32785 |                           wandb.sdk.launch.registry.abstract
import time:     19132 |      19132 |                               wandb.sdk.launch.git_reference
import time:     16535 |      16535 |                               wandb.sdk.launch.wandb_reference
import time:     20691 |      20691 |                               wandb.sdk.wandb_config
import time:     12874 |      12874 |                                 wandb.sdk.launch.builder.templates
import time:     22944 |      35817 |                               wandb.sdk.launch.builder.templates._wandb_bootstrap
import time:     11235 |     103409 |                             wandb.sdk.launch.utils
import time:     14291 |     117699 |                           wandb.sdk.launch._project_spec
import time:     18674 |      18674 |                           wandb.sdk.launch.registry.anon
import time:     24198 |     248982 |                         wandb.sdk.launch.builder.abstract
import time:     27389 |      27389 |                           wandb.sdk.launch.runner
import time:     22684 |      50073 |                         wandb.sdk.launch.runner.abstract
import time:     28113 |     409825 |                       wandb.sdk.launch.loader
import time:     13724 |      13724 |                               wandb.sdk.launch.builder.templates.dockerfile
import time:     17924 |      31648 |                             wandb.sdk.launch.builder.build
import time:     11665 |      43313 |                           wandb.sdk.launch._launch_add
import time:     12898 |      12898 |                           wandb.sdk.launch.runner.local_container
import time:      9246 |       9246 |                           wandb.sdk.launch.runner.local_process
import time:     11536 |      11536 |                             wandb.sdk.launch.sweeps
import time:     14071 |      14071 |                             wandb.sdk.launch.sweeps.utils
import time:     16990 |      42596 |                           wandb.sdk.launch.sweeps.scheduler
import time:     28827 |      28827 |                             wandb.sdk.launch.agent.run_queue_item_file_saver
import time:     17582 |      46408 |                           wandb.sdk.launch.agent.job_status_tracker
import time:     16095 |     170553 |                         wandb.sdk.launch.agent.agent
import time:     19474 |     190027 |                       wandb.sdk.launch.agent
import time:     30238 |      30238 |                       wandb.sdk.launch.environment.local_environment
import time:     33944 |     664032 |                     wandb.sdk.launch._launch
import time:     23855 |      23855 |                       wandb.sdk.launch.inputs
import time:     36607 |      60461 |                     wandb.sdk.launch.inputs.manage
import time:     38403 |     762895 |                   wandb.sdk.launch
import time:       126 |     763020 |                 wandb.sdk.launch.utils
import time:      8597 |       8597 |                   wandb.sdk.lib.telemetry
import time:      9276 |      17872 |                 wandb.sdk.lib.deprecation
import time:    122041 |    2878827 |               wandb.apis.public.api
import time:     30831 |      30831 |               wandb.apis.public.artifacts
import time:      8830 |       8830 |               wandb.apis.public.automations
import time:     11110 |      11110 |                 wandb.apis.public.runs
import time:     10545 |      21655 |               wandb.apis.public.files
import time:     11934 |      11934 |               wandb.apis.public.history
import time:     22288 |      22288 |               wandb.apis.public.integrations
import time:     26265 |      26265 |                 wandb.sdk.artifacts.artifact_state
import time:     25199 |      51464 |               wandb.apis.public.jobs
import time:     17719 |      17719 |                 wandb.apis.public.sweeps
import time:     16627 |      34345 |               wandb.apis.public.projects
import time:     17481 |      17481 |               wandb.apis.public.query_generator
import time:     21005 |      21005 |               wandb.apis.public.reports
import time:     69261 |    3167914 |             wandb.apis.public
import time:     15999 |   13661494 |           wandb.apis
import time:       198 |   13661691 |         wandb.apis.normalize
import time:     14080 |      14080 |                     google.protobuf.wrappers_pb2
import time:      9060 |      23139 |                   wandb.proto.v6.wandb_settings_pb2
import time:     19237 |      42375 |                 wandb.proto.wandb_settings_pb2
import time:     15277 |      15277 |                   wandb.proto.v6.wandb_sync_pb2
import time:     12114 |      27391 |                 wandb.proto.wandb_sync_pb2
import time:     17584 |      17584 |                   wandb.proto.v6.wandb_api_pb2
import time:     19186 |      36769 |                 wandb.proto.wandb_api_pb2
import time:     26865 |     133399 |               wandb.proto.v6.wandb_server_pb2
import time:     20210 |     153608 |             wandb.proto.wandb_server_pb2
import time:     12385 |      12385 |             wandb.sdk.mailbox.mailbox_handle
import time:      9457 |       9457 |             wandb.sdk.mailbox.response_handle
import time:     17767 |     193215 |           wandb.sdk.mailbox.mailbox
import time:     13399 |      13399 |           wandb.sdk.mailbox.wait_with_progress
import time:     23776 |     230389 |         wandb.sdk.mailbox
import time:     17603 |      17603 |             wandb.sdk.artifacts.storage_layout
import time:     28802 |      46404 |           wandb.sdk.artifacts._models.storage
import time:     21282 |      21282 |             wandb.sdk.artifacts.storage_policies.register
import time:      7725 |       7725 |               wandb.sdk.artifacts.artifact_file_cache
import time:      9642 |       9642 |               wandb.sdk.artifacts.staging
import time:     27767 |      27767 |                 wandb.sdk.artifacts.storage_handlers
import time:     21571 |      21571 |                 wandb.sdk.artifacts.storage_handler
import time:     23541 |      72877 |               wandb.sdk.artifacts.storage_handlers.multi_handler
import time:     43216 |      43216 |                 wandb.sdk.artifacts.artifact_manifest_entry
import time:     22750 |      65965 |               wandb.sdk.artifacts.storage_handlers.tracking_handler
import time:     13983 |      13983 |               wandb.sdk.artifacts.storage_policies._multipart
import time:      9357 |       9357 |               wandb.sdk.artifacts.storage_policy
import time:     11298 |      11298 |                 wandb.sdk.artifacts.storage_handlers.azure_handler
import time:     17579 |      17579 |                   wandb.sdk.artifacts.storage_handlers._timing
import time:     13200 |      30779 |                 wandb.sdk.artifacts.storage_handlers.gcs_handler
import time:     15816 |      15816 |                 wandb.sdk.artifacts.storage_handlers.http_handler
import time:     23854 |      23854 |                 wandb.sdk.artifacts.storage_handlers.local_file_handler
import time:     11836 |      11836 |                 wandb.sdk.artifacts.storage_handlers.s3_handler
import time:     13564 |      13564 |                 wandb.sdk.artifacts.storage_handlers.wb_artifact_handler
import time:     20258 |      20258 |                     wandb.sdk.lib.capped_dict
import time:      9903 |      30160 |                   wandb.sdk.artifacts.artifact_instance_cache
import time:     12443 |      42603 |                 wandb.sdk.artifacts.storage_handlers.wb_local_artifact_handler
import time:     11246 |     160993 |               wandb.sdk.artifacts.storage_policies._factories
import time:     12821 |     353361 |             wandb.sdk.artifacts.storage_policies.wandb_storage_policy
import time:     17264 |     391906 |           wandb.sdk.artifacts.storage_policies
import time:     16092 |     454400 |         wandb.sdk.artifacts._factories
import time:     20826 |      20826 |           wandb.sdk.artifacts.exceptions
import time:     21097 |      41923 |         wandb.sdk.artifacts._validators
import time:     19749 |      19749 |         wandb.sdk.artifacts.artifact_download_logger
import time:     44055 |      44055 |         wandb.sdk.artifacts.artifact_manifest
import time:     30523 |      30523 |           wandb.sdk.artifacts.artifact_manifests
import time:     45735 |      45735 |           wandb.sdk.artifacts._models.manifest
import time:     48950 |     125206 |         wandb.sdk.artifacts.artifact_manifests.artifact_manifest_v1
import time:     28258 |      28258 |         wandb.sdk.artifacts.artifact_ttl
import time:     22737 |   24657114 |       wandb.sdk.artifacts.artifact
import time:     20499 |      20499 |       wandb.sdk.wandb_alerts
import time:     16112 |      16112 |         wandb.trigger
import time:     13072 |      13072 |         wandb.errors.util
import time:     12931 |      12931 |           wandb.integration.weave.interface
import time:     11105 |      11105 |           wandb.integration.weave.weave
import time:     17304 |      41339 |         wandb.integration.weave
import time:     23840 |      23840 |           wandb.sdk.interface
import time:     31164 |      31164 |             wandb.sdk.interface.summary_record
import time:     27946 |      59110 |           wandb.sdk.interface.interface
import time:     15126 |      98075 |         wandb.sdk.lib.progress
import time:     46342 |      46342 |           wandb.sdk.backend
import time:     59446 |     105788 |         wandb.sdk.backend.backend
import time:     36879 |      36879 |           wandb.sdk.lib.preinit
import time:     35575 |      72453 |         wandb.sdk.lib.module
import time:     34072 |      34072 |           wandb.integration.torch
import time:     31167 |      31167 |           wandb.integration.torch.wandb_torch
import time:     29331 |      29331 |               wandb.plot.custom_chart
import time:     42649 |      71979 |             wandb.plot.bar
import time:     30417 |      30417 |             wandb.plot.confusion_matrix
import time:     29585 |      29585 |             wandb.plot.histogram
import time:     32567 |      32567 |             wandb.plot.line
import time:     29021 |      29021 |             wandb.plot.line_series
import time:     29402 |      29402 |               wandb.plot.utils
import time:     27472 |      56874 |             wandb.plot.pr_curve
import time:     24744 |      24744 |             wandb.plot.roc_curve
import time:     12545 |      12545 |             wandb.plot.scatter
import time:     18275 |      18275 |             wandb.plot.viz
import time:     50370 |     356372 |           wandb.plot
import time:     17218 |      17218 |           wandb.sdk.wandb_metric
import time:     16312 |      16312 |           wandb.sdk.wandb_summary
import time:     17641 |      17641 |           wandb.sdk.lib.interrupt
import time:      9514 |       9514 |           wandb.sdk.lib.proto_util
import time:       396 |        396 |               tty
import time:       659 |       1055 |             pty
import time:     10309 |      10309 |             wandb.sdk.lib.console_capture
import time:     10841 |      22204 |           wandb.sdk.lib.redirect
import time:     10184 |      10184 |           wandb.sdk.lib.exit_hooks
import time:     36865 |     551545 |         wandb.sdk.wandb_run
import time:     21879 |      21879 |           pydantic._internal._serializers
import time:    106753 |     128631 |         wandb.sdk.wandb_settings
import time:     26164 |    1053175 |       wandb.sdk.wandb_init
import time:      9968 |       9968 |       wandb.sdk.wandb_require
import time:      9363 |       9363 |       wandb.sdk.wandb_sweep
import time:      7612 |       7612 |       wandb.sdk.wandb_watch
import time:    249002 |   27530331 |     wandb.sdk
import time:       135 |   27530465 |   wandb.sdk.lib
import time:     15684 |      15684 |   wandb.wandb_agent
import time:     15053 |      15053 |   wandb.sdk.internal.profiler
import time:    102344 |   29594320 | wandb
