import time: self [us] | cumulative | imported package
import time:      6402 |       6601 |             wandb.sdk.lib.json_util
import time:    140257 |     725674 |           wandb.util
import time:    135003 |     863382 |         wandb.sdk.lib.config_util
import time:     88161 |    1523602 |       wandb.sdk.wandb_helper
import time:      5885 |       5885 |         wandb.sdk.artifacts
import time:       657 |        657 |                 signal
import time:       433 |       1090 |               multiprocessing.process
import time:       504 |        504 |                   _compat_pickle
import time:       112 |        112 |                   _pickle
import time:      1093 |       1708 |                 pickle
import time:        51 |         51 |                     select
import time:       652 |        703 |                   selectors
import time:        83 |         83 |                   array
import time:      1453 |       2237 |                 socket
import time:       503 |       4448 |               multiprocessing.reduction
import time:       692 |       6228 |             multiprocessing.context
import time:       373 |       6600 |           multiprocessing
import time:       228 |        228 |           multiprocessing.dummy.connection
import time:       497 |       7324 |         multiprocessing.dummy
import time:       208 |        208 |           concurrent
import time:       554 |        554 |           concurrent.futures._base
import time:       446 |       1207 |         concurrent.futures
import time:       252 |        252 |         concurrent.futures.thread
import time:      4848 |       4848 |                   pydantic_core._pydantic_core
import time:       621 |        621 |                       _decimal
import time:       367 |        987 |                     decimal
import time:     12914 |      13900 |                   pydantic_core.core_schema
import time:      6258 |      25005 |                 pydantic_core
import time:      3459 |      28464 |               pydantic.version
import time:      3624 |      32087 |             pydantic.warnings
import time:      5325 |      37412 |           pydantic._migration
import time:      5895 |       5895 |               typing_inspection
import time:      5330 |       5330 |               typing_inspection.typing_objects
import time:      5488 |      16712 |             typing_inspection.introspection
import time:      7028 |       7028 |             pydantic._internal
import time:      3582 |       3582 |                 pydantic._internal._namespace_utils
import time:      4711 |       8293 |               pydantic._internal._typing_extra
import time:      5367 |      13659 |             pydantic._internal._repr
import time:      4285 |      41682 |           pydantic.errors
import time:      6201 |      85294 |         pydantic
import time:       412 |        412 |           _uuid
import time:       594 |       1006 |         uuid
import time:     13521 |      13521 |         annotated_types
import time:    112165 |     112165 |             pydantic._internal._internal_dataclass
import time:     53713 |     165878 |           pydantic.aliases
import time:       433 |        433 |               _contextvars
import time:       607 |       1040 |             contextvars
import time:    171903 |     171903 |             pydantic._internal._core_utils
import time:    104951 |     104951 |             pydantic._internal._forward_ref
import time:     91762 |      91762 |               pydantic._internal._import_utils
import time:     84407 |     176168 |             pydantic._internal._utils
import time:    138840 |     592901 |           pydantic._internal._generics
import time:    174793 |     174793 |             pydantic.config
import time:    120212 |     295005 |           pydantic._internal._config
import time:    160889 |     160889 |           pydantic._internal._docs_extraction
import time:      8096 |    1222768 |         pydantic._internal._fields
import time:      1684 |       1684 |           fractions
import time:     65858 |      65858 |               sysconfig
import time:      1006 |       1006 |               _sysconfigdata__x86_64-linux-gnu
import time:       979 |      67841 |             zoneinfo._tzpath
import time:       206 |        206 |             zoneinfo._common
import time:       502 |        502 |             _zoneinfo
import time:       829 |      69376 |           zoneinfo
import time:    139053 |     210112 |         pydantic._internal._validators
import time:    178781 |     178781 |         pydantic.annotated_handlers
import time:     87863 |      87863 |           pydantic._internal._core_metadata
import time:    125930 |     125930 |           pydantic._internal._decorators
import time:    171580 |     171580 |               pydantic.plugin
import time:    167092 |     338671 |             pydantic.plugin._schema_validator
import time:    119503 |     458174 |           pydantic._internal._mock_val_ser
import time:    198363 |     198363 |           pydantic._internal._schema_generation_shared
import time:    122967 |     993295 |         pydantic.json_schema
import time:    116193 |     116193 |             wandb.sdk.data_types
import time:    117726 |     117726 |               numpy.version
import time:     95171 |      95171 |               numpy._expired_attrs_2_0
import time:    195930 |     195930 |                   numpy._utils._convertions
import time:    247449 |     443379 |                 numpy._utils
import time:    130913 |     574291 |               numpy._globals
import time:     38453 |      38453 |                 numpy._distributor_init_local
import time:    108127 |     146580 |               numpy._distributor_init
import time:    108059 |     108059 |                         numpy.exceptions
import time:    123487 |     123487 |                         numpy._core._exceptions
import time:    123412 |     123412 |                         numpy._core.printoptions
import time:    105670 |     105670 |                         numpy.dtypes
import time:    201851 |     662478 |                       numpy._core._multiarray_umath
import time:    148725 |     148725 |                         numpy._utils._inspect
import time:    121241 |     269965 |                       numpy._core.overrides
import time:    119913 |    1052355 |                     numpy._core.multiarray
import time:    110633 |     110633 |                     numpy._core.umath
import time:     79989 |      79989 |                       numpy._core._dtype
import time:     15709 |      15709 |                       numpy._core._string_helpers
import time:     25546 |      25546 |                       numpy._core._type_aliases
import time:     92129 |     213371 |                     numpy._core.numerictypes
import time:      7551 |       7551 |                       numpy._core._ufunc_config
import time:      7964 |       7964 |                         numpy._core._methods
