layer_idx,train_loss
1,0.032601993129112446
1,0.015744
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
1,0.3552847671508789
2,0.360881878733635
3,0.0003338508185697719
4,0.39117759495973586
5,0.3875205609202385
6,0.4677638980746269
6,0.470082081258297
7,0.20712533488869667
8,0.22874960273504258
9,0.10069524560123683
10,0.11815721824765206
11,0.1706148400902748
12,0.16350181236863137
